Property,Issue,Date,,,,
52 Chester Avenue,In House,Apr-15,,,,
52 Chester Avenue,Occupied Problem Properties,Jul-15,,,,
52 Chester Avenue,Occupied Problem Properties,Aug-15,,,,
52 Chester Avenue,Vacant Problem Properties,Oct-15,,,,
52 Chester Avenue,Vacant Problem Properties,Nov-15,,,,
553-A Washington Avenue,New Problem Properties,Jul-15,,,,
553-A Washington Avenue,Vacant Problem Properties,Aug-15,,,,
553-A Washington Avenue,Tax Title or Receivership,Oct-15,,,,
553-A Washington Avenue,Tax Title or Receivership,Nov-15,,,,
553-A Washington Avenue,Tax Title or Receivership,Dec-15,,,,
553-A Washington Avenue,Tax Title or Receivership,Jan-16,,,,
553-A Washington Avenue,Tax Title or Receivership,Feb-16,,,,
553-A Washington Avenue,Tax Title or Receivership,Mar-16,,,,
553-A Washington Avenue,Tax Title or Receivership,Apr-16,,,,
553-A Washington Avenue,Tax Title or Receivership,May-16,,,,
553-A Washington Avenue,Tax Title or Receivership,Jun-16,,,,
553-A Washington Avenue,Tax Title or Receivership,Jul-16,,,,
553-A Washington Avenue,Tax Title or Receivership,Sep-16,,,,
553-A Washington Avenue,Tax Title or Receivership,Oct-16,,,,
553-A Washington Avenue,Tax Title or Receivership,Nov-16,,,,
553-A Washington Avenue,Tax Title or Receivership,Jan-17,,,,
553-A Washington Avenue,Vacant Problem Properties,Feb-17,,,,
56-58 Crescent Avenue,Vacant Problem Properties,Oct-15,,,,
56-58 Crescent Avenue,Vacant Problem Properties,Nov-15,,,,
56-58 Crescent Avenue,Tax Title or Receivership,Dec-15,,,,
56-58 Crescent Avenue,Tax Title or Receivership,Mar-16,,,,
56-58 Crescent Avenue ,Tax Title or Receivership,Jan-16,,,,
56-58 Crescent Avenue ,Tax Title or Receivership,Feb-16,,,,
59 Cherry Street,In House,Jan-15,,,,
59 Cherry Street,With AG,Feb-15,,,,
59 Cherry Street,In House,Apr-15,,,,
59 Cherry Street,With AG,Jul-15,,,,
59 Cherry Street,Receivership Properties ,Aug-15,,,,
59 Cherry Street,With AG,Oct-15,,,,
59 Cherry Street,With AG,Nov-15,,,,
59 Cherry Street,With AG,Dec-15,,,,
59 Cherry Street,With AG,Jan-16,,,,
59 Cherry Street,With AG,Feb-16,,,,
59 Cherry Street,With AG,Mar-16,,,,
59 Cherry Street,With AG,Apr-16,,,,
59 Cherry Street,With AG,May-16,,,,
59 Cherry Street,With AG,Jun-16,,,,
59 Cherry Street,With AG,Jul-16,,,,
59 Cherry Street,With AG,Sep-16,,,,
60 Essex Street,Tax Title or Receivership,Oct-15,,,,
60 Essex Street,Tax Title or Receivership,Nov-15,,,,
60 Essex Street,Tax Title or Receivership,Dec-15,,,,
60 Essex Street,Tax Title or Receivership,Jan-16,,,,
60 Essex Street,Tax Title or Receivership,Feb-16,,,,
60 Essex Street,Tax Title or Receivership,Mar-16,,,,
60 Essex Street,Tax Title or Receivership,Apr-16,,,,
60 Essex Street,Tax Title or Receivership,Sep-16,,,,
60 Essex Street,Tax Title or Receivership,Oct-16,,,,
60 Essex Street,Tax Title or Receivership,Nov-16,,,,
60 Essex Street,Tax Title or Receivership,Jan-17,,,,
60 Essex Street ,Tax Title or Receivership,May-16,,,,
60 Essex Street ,Tax Title or Receivership,Jul-16,,,,
60 Esssex Street,Tax Title or Receivership,Jun-16,,,,
71 Chester Avenue,Occupied Problem Properties,Nov-16,,,,
71 Chester Avenue,Occupied Problem Properties,Mar-17,,,,
73 Library Street,2015 Auction Properties,Dec-15,,,,
76 Clark Avenue ,Other Problem Properties,Apr-15,,,,
8 Summit Avenue,Vacant Problem Properties,Jul-15,,,,
8 Summit Avenue,Vacant Problem Properties,Aug-15,,,,
8 Summit Avenue,Tax Title or Receivership,Oct-15,,,,
8 Summit Avenue,2015 Auction Properties,Dec-15,,,,
8 Summit Avenue,2015-2016 Auction Properties,Feb-16,,,,
80 Hawthorn Street,With AG,Jan-15,,,,
80 Hawthorn Street,Tax Title or Receivership,Feb-15,,,,
